lon, lat
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.1817252, 37.4529598
-122.4194155, 37.7749295
-122.2885808, 38.0171441
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.0838511, 37.3860517
-122.2416355, 37.7652065
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.0838511, 37.3860517
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4702079, 37.6879241
-122.4194155, 37.7749295
-122.1430195, 37.4418834
-122.5697032, 38.1074198
-122.4869194, 37.6138253
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.1796888, 37.8771476
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.1817252, 37.4529598
-122.0651819, 37.9100783
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.0307963, 36.9741171
-122.1430195, 37.4418834
-122.2566367, 38.1040864
-122.2363548, 37.48521520000001
-122.1430195, 37.4418834
-122.5310874, 37.9735346
-122.0807964, 37.6688205
-122.2711137, 37.8043637
-122.2416355, 37.7652065
-122.1817252, 37.4529598
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.1430195, 37.4418834
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.2416355, 37.7652065
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.0651819, 37.9100783
-122.4194155, 37.7749295
-122.1244088, 37.6810422
-122.272747, 37.8715926
-122.6863733, 37.9093702
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.0807964, 37.6688205
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.0807964, 37.6688205
-122.2711137, 37.8043637
-122.5449763, 37.9060368
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2416355, 37.7652065
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.5310874, 37.9735346
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5449763, 37.9060368
-122.4852507, 37.8590937
-122.3871942, 37.5985468
-122.1817252, 37.4529598
-122.1430195, 37.4418834
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5697032, 38.1074198
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5310874, 37.9735346
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5310874, 37.9735346
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5449763, 37.9060368
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.0807964, 37.6688205
-122.2566367, 38.1040864
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.1560768, 37.7249296
-122.1660756, 37.42410599999999
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5352539, 37.9340915
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.1796888, 37.8771476
-122.4194155, 37.7749295
-122.5352539, 37.9340915
-122.0807964, 37.6688205
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.1560768, 37.7249296
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.2852473, 37.831316
-122.0863522, 37.6940973
-122.2363548, 37.48521520000001
-122.1296871, 37.8349263
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.2363548, 37.48521520000001
-122.2566367, 38.1040864
-122.1341321, 38.0193657
-122.1817252, 37.4529598
-122.272747, 37.8715926
-122.4702079, 37.6879241
-122.1585777, 38.049365
-122.1817252, 37.4529598
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.5310874, 37.9735346
-122.4194155, 37.7749295
-122.2977475, 37.88687
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.1341321, 38.0193657
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.1430195, 37.4418834
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.272747, 37.8715926
-122.4852507, 37.8590937
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.0807964, 37.6688205
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2363548, 37.48521520000001
-122.2758008, 37.5202145
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2852473, 37.831316
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.0807964, 37.6688205
-122.2711137, 37.8043637
-122.0863522, 37.6940973
-122.2711137, 37.8043637
-122.0807964, 37.6688205
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.1244088, 37.6810422
-122.2416355, 37.7652065
-122.272747, 37.8715926
-122.1560768, 37.7249296
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.0807964, 37.6688205
-122.2852473, 37.831316
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.2952474, 37.9771452
-122.3255254, 37.5629917
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.0807964, 37.6688205
-122.0838511, 37.3860517
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.2566367, 38.1040864
-122.4852507, 37.8590937
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4110835, 37.6304904
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.2566367, 38.1040864
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.1244088, 37.6810422
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.3871942, 37.5985468
-122.4869194, 37.6138253
-122.4702079, 37.6879241
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.1660756, 37.42410599999999
-122.34809, 37.5778696
-122.0807964, 37.6688205
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2416355, 37.7652065
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2566367, 38.1040864
-122.2566367, 38.1040864
-122.2566367, 38.1040864
-122.2566367, 38.1040864
-122.2711137, 37.8043637
-122.0807964, 37.6688205
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.0651819, 37.9100783
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.0651819, 37.9100783
-122.2416355, 37.7652065
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
